,Source,Target,eType
0,57728,21551,0
1,57728,48673,0
2,57728,50521,0
3,57728,152857,0
4,57728,32104,0
5,57728,107060,0
6,57728,49224,0
7,79362,498,0
8,79362,21551,0
9,79362,48673,0
10,79362,48680,0
11,79362,49224,0
12,79362,75567,0
13,79362,119765,0
14,79362,120888,0
15,79362,107060,0
16,79362,177856,0
17,79362,126526,0
18,79362,373487,0
19,79362,1697806,0
20,79362,2364295,0
21,2364295,498,0
22,2364295,48673,0
23,2364295,75567,0
24,2364295,126526,0
25,2364295,373487,0
26,2364295,1697806,0
27,2364295,49224,0
28,2364295,152857,0
29,2364295,120888,0
30,1697806,498,0
31,1697806,21551,0
32,1697806,48673,0
33,1697806,32104,0
34,175124,498,0
35,175124,48673,0
36,175124,49224,0
37,175124,118579,0
38,175124,120888,0
39,175124,1235920,0
40,175124,220376,0
41,175124,373487,0
42,175124,846935,0
43,175124,2277329,0
44,152857,21551,0
45,152857,32104,0
46,152857,48673,0
47,152857,50521,0
48,152857,75567,0
49,152857,107060,0
50,152857,177856,0
51,152857,373487,0
52,152857,846935,0
53,152857,1235920,0
54,152857,2277329,0
55,48673,498,0
56,48673,126526,0
57,48673,373487,0
58,48673,118579,0
59,48673,75567,0
60,48673,49224,0
61,48673,846935,0
62,48673,2277329,0
63,48673,220376,0
64,48673,177856,0
65,48673,1235920,0
66,48673,1604551,0
67,48673,107060,0
68,48673,32104,0
69,48673,120888,0
70,48673,21551,0
71,48673,119765,0
72,48673,48680,0
73,48673,50521,0
74,48673,698342,0
75,48680,21551,0
76,48680,107060,0
77,48680,49224,0
78,48680,120888,0
79,48680,177856,0
80,48680,126526,0
81,75567,498,0
82,75567,21551,0
83,75567,49224,0
84,75567,177856,0
85,75567,107060,0
86,75567,119765,0
87,75567,120888,0
88,75567,126526,0
89,75567,373487,0
90,21551,498,0
91,21551,107060,0
92,21551,177856,0
93,21551,32104,0
94,21551,120888,0
95,21551,49224,0
96,21551,50521,0
97,21551,119765,0
98,118579,498,0
99,118579,49224,0
100,118579,2277329,0
101,118579,120888,0
102,118579,1235920,0
103,118579,1604551,0
104,118579,846935,0
105,107060,498,0
106,107060,32104,0
107,107060,177856,0
108,107060,49224,0
109,107060,120888,0
110,107060,126526,0
111,107060,698342,0
112,120888,498,0
113,120888,49224,0
114,120888,119765,0
115,120888,1604551,0
116,120888,2277329,0
117,120888,1235920,0
118,120888,220376,0
119,120888,846935,0
120,120888,373487,0
121,120888,177856,0
122,120888,698342,0
123,126526,498,0
124,177856,498,0
125,177856,50521,0
126,177856,119765,0
127,177856,32104,0
128,177856,49224,0
129,177856,698342,0
130,1604551,498,0
131,1604551,49224,0
132,1604551,373487,0
133,1604551,846935,0
134,1604551,1235920,0
135,1604551,2277329,0
136,49224,498,0
137,49224,119765,0
138,49224,220376,0
139,49224,2277329,0
140,49224,1235920,0
141,49224,373487,0
142,49224,698342,0
143,49224,846935,0
144,1235920,498,0
145,1235920,373487,0
146,1235920,846935,0
147,1235920,2277329,0
148,2277329,498,0
149,2277329,846935,0
150,119765,373487,0
151,119765,698342,0
152,846935,373487,0
153,846935,498,0
154,220376,373487,0
155,50521,32104,0
156,698342,373487,0
157,698342,498,0
158,698342,32104,0
159,373487,498,0
