,Source,Target,eType
0,0,1,0
1,0,6,0
2,0,11,0
3,0,5,0
4,0,0,0
5,0,7,0
6,0,4,0
7,0,9,0
8,0,14,0
9,0,2,0
10,0,13,0
11,0,10,0
12,0,12,0
13,0,3,0
14,0,8,0
15,1,1,0
16,2,3,0
17,2,2,0
18,2,12,0
19,2,0,0
20,3,2,0
21,3,3,0
22,3,0,0
23,8,12,0
24,8,8,0
25,8,0,0
26,13,4,0
27,13,9,0
28,10,10,0
29,11,1,0
30,14,0,0
31,14,1,0
32,4,5,0
33,4,1,0
34,4,9,0
35,4,0,0
36,4,13,0
37,4,4,0
38,4,8,0
39,4,12,0
40,4,6,0
41,6,0,0
42,6,6,0
43,6,1,0
44,6,5,0
45,6,8,0
46,6,9,0
47,6,4,0
48,5,4,0
49,5,0,0
50,5,9,0
51,5,5,0
52,5,8,0
53,7,7,0
54,9,4,0
55,9,9,0
56,9,2,0
57,9,0,0
58,9,5,0
59,9,6,0
60,9,8,0
61,9,13,0
62,12,2,0
63,12,12,0
64,12,8,0
65,12,0,0
66,12,14,0
