,Source,Target,eType
0,0,1,0
1,0,21,0
2,0,9,0
3,0,16,0
4,0,24,0
5,0,5,0
6,0,13,0
7,0,0,0
8,0,22,0
9,0,14,0
10,0,10,0
11,0,7,0
12,0,4,0
13,0,8,0
14,0,12,0
15,0,23,0
16,0,19,0
17,0,2,0
18,0,18,0
19,0,20,0
20,0,15,0
21,0,17,0
22,0,3,0
23,0,6,0
24,0,11,0
25,1,1,0
26,1,2,0
27,1,3,0
28,2,3,0
29,2,14,0
30,2,2,0
31,2,6,0
32,2,8,0
33,2,19,0
34,2,17,0
35,2,0,0
36,2,24,0
37,3,2,0
38,3,3,0
39,3,6,0
40,3,0,0
41,3,21,0
42,15,15,0
43,16,22,0
44,16,1,0
45,16,14,0
46,16,8,0
47,16,21,0
48,16,19,0
49,16,7,0
50,16,20,0
51,4,5,0
52,4,1,0
53,4,12,0
54,4,8,0
55,4,19,0
56,4,14,0
57,4,20,0
58,4,0,0
59,4,7,0
60,4,21,0
61,4,18,0
62,4,4,0
63,4,11,0
64,4,17,0
65,4,22,0
66,4,9,0
67,9,0,0
68,9,9,0
69,9,1,0
70,9,5,0
71,9,11,0
72,9,21,0
73,9,12,0
74,9,4,0
75,5,4,0
76,5,0,0
77,5,12,0
78,5,5,0
79,5,8,0
80,5,11,0
81,5,14,0
82,10,10,0
83,17,2,0
84,17,17,0
85,17,11,0
86,17,14,0
87,17,0,0
88,17,23,0
89,11,17,0
90,11,6,0
91,11,8,0
92,11,13,0
93,11,22,0
94,11,11,0
95,11,0,0
96,18,7,0
97,18,4,0
98,18,8,0
99,18,12,0
100,18,19,0
101,23,22,0
102,23,0,0
103,23,8,0
104,23,14,0
105,23,21,0
106,23,7,0
107,23,1,0
108,23,20,0
109,12,13,0
110,12,4,0
111,12,12,0
112,12,2,0
113,12,6,0
114,12,0,0
115,12,22,0
116,12,5,0
117,12,9,0
118,12,11,0
119,12,8,0
120,12,18,0
121,12,14,0
122,12,19,0
123,12,1,0
124,13,12,0
125,13,0,0
126,13,13,0
127,19,14,0
128,19,8,0
129,19,19,0
130,19,18,0
131,19,21,0
132,19,4,0
133,19,2,0
134,19,0,0
135,19,16,0
136,19,5,0
137,19,7,0
138,19,12,0
139,19,20,0
140,20,4,0
141,20,20,0
142,20,7,0
143,20,14,0
144,20,23,0
145,21,1,0
146,21,0,0
147,21,19,0
148,21,22,0
149,21,4,0
150,21,21,0
151,21,14,0
152,21,18,0
153,21,16,0
154,21,23,0
155,21,9,0
156,21,3,0
157,6,2,0
158,6,6,0
159,6,3,0
160,6,8,0
161,6,19,0
162,24,0,0
163,24,24,0
164,7,8,0
165,7,18,0
166,7,4,0
167,7,7,0
168,7,14,0
169,7,16,0
170,7,20,0
171,7,0,0
172,7,11,0
173,7,21,0
174,7,19,0
175,7,23,0
176,8,1,0
177,8,14,0
178,8,5,0
179,8,4,0
180,8,18,0
181,8,7,0
182,8,12,0
183,8,8,0
184,8,19,0
185,8,21,0
186,8,22,0
187,8,20,0
188,8,0,0
189,8,23,0
190,8,16,0
191,8,6,0
192,8,11,0
193,22,23,0
194,22,16,0
195,22,14,0
196,22,12,0
197,22,8,0
198,22,0,0
199,22,1,0
200,22,4,0
201,14,2,0
202,14,14,0
203,14,16,0
204,14,1,0
205,14,8,0
206,14,19,0
207,14,20,0
208,14,18,0
209,14,7,0
210,14,4,0
211,14,21,0
212,14,22,0
213,14,23,0
214,14,17,0
215,14,0,0
216,14,6,0
217,14,12,0
218,14,5,0
