,Source,Target,eType
0,0,152857,0
1,0,32104,0
2,0,23158,0
3,0,228358,0
4,0,115556,0
5,0,2015179,0
6,0,20518,0
7,0,84680,0
8,0,117780,0
9,0,9796,0
10,0,74338,0
11,0,1155605,0
12,0,81401,0
13,0,109121,0
14,0,191321,0
15,0,2064036,0
16,0,34745,0
17,0,403564,0
18,0,44914,0
19,0,112903,0
20,0,7554,0
21,0,1155944,0
22,0,41554,0
23,0,2279548,0
24,0,1591461,0
25,0,2021621,0
26,0,119810,0
27,0,266190,0
28,0,186457,0
29,0,65022,0
30,0,2037792,0
31,0,83455,0
32,0,115977,0
33,0,1053264,0
34,0,200419,0
35,0,91688,0
36,0,134402,0
37,0,227054,0
38,0,85465,0
39,0,1331894,0
40,0,42011,0
41,0,1172458,0
42,0,27145,0
43,0,194591,0
44,0,96967,0
45,0,176470,0
46,0,2402273,0
47,0,642128,0
48,0,2372192,0
49,0,2334394,0
50,0,221486,0
51,0,384,0
52,0,2412,0
53,0,14553,0
54,0,19089,0
55,0,26151,0
56,0,29210,0
57,0,35148,0
58,0,36684,0
59,0,40029,0
60,0,43725,0
61,0,44093,0
62,0,54133,0
63,0,57300,0
64,0,57851,0
65,0,61252,0
66,0,61275,0
67,0,67280,0
68,0,75096,0
69,0,79919,0
70,0,83908,0
71,0,85330,0
72,0,87117,0
73,0,89183,0
74,0,95121,0
75,0,97162,0
76,0,102240,0
77,0,116909,0
78,0,117502,0
79,0,120226,0
80,0,132547,0
81,0,149449,0
82,0,150080,0
83,0,154133,0
84,0,166173,0
85,0,173341,0
86,0,179305,0
87,0,182270,0
88,0,185172,0
89,0,191440,0
90,0,198496,0
91,0,200076,0
92,0,200376,0
93,0,223428,0
94,0,227171,0
95,0,229815,0
96,0,287006,0
97,0,302764,0
98,0,317669,0
99,0,354784,0
100,0,394021,0
101,0,411357,0
102,0,477417,0
103,0,515292,0
104,0,547462,0
105,0,561857,0
106,0,575913,0
107,0,595802,0
108,0,686800,0
109,0,736258,0
110,0,750123,0
111,0,811518,0
112,0,862237,0
113,0,883497,0
114,0,1001402,0
115,0,1012465,0
116,0,1102247,0
117,0,1109815,0
118,0,1113367,0
119,0,1165959,0
120,0,1229555,0
121,0,1242592,0
122,0,1268562,0
123,0,1343830,0
124,0,1380143,0
125,0,1391964,0
126,0,1404032,0
127,0,1458050,0
128,0,1459904,0
129,0,1469339,0
130,0,1480626,0
131,0,1510677,0
132,0,1512917,0
133,0,1552384,0
134,0,1586895,0
135,0,1607879,0
136,0,1618304,0
137,0,1622355,0
138,0,1738709,0
139,0,1745625,0
140,0,1779301,0
141,0,1780298,0
142,0,1794498,0
143,0,1800482,0
144,0,1826230,0
145,0,1834554,0
146,0,1872711,0
147,0,1893146,0
148,0,1906884,0
149,0,1928137,0
150,0,1929666,0
151,0,1934234,0
152,0,1937842,0
153,0,1979065,0
154,0,1984560,0
155,0,2034637,0
156,0,2052443,0
157,0,2077658,0
158,0,2083627,0
159,0,2118786,0
160,0,2119785,0
161,0,2128561,0
162,0,2136265,0
163,0,2155876,0
164,0,2198082,0
165,0,2215350,0
166,0,2259911,0
167,0,2267363,0
168,0,2306440,0
169,0,2306783,0
170,0,2320830,0
171,0,2392200,0
172,0,2393721,0
173,0,2406078,0
174,32772,384,0
175,32772,2412,0
176,32772,9084,0
177,32772,12309,0
178,32772,19211,0
179,32772,23158,0
180,32772,91688,0
181,32772,1844509,0
182,32772,127325,0
183,32772,1229745,0
184,32772,1536972,0
185,32772,1015381,0
186,32772,1526041,0
187,32772,2139315,0
188,32772,1589517,0
189,32772,109121,0
190,32772,897102,0
191,32772,2118954,0
192,32772,112903,0
193,32772,2378549,0
194,32772,2206368,0
195,32772,1100725,0
196,32772,407716,0
197,32772,114988,0
198,32772,214975,0
199,32772,60044,0
200,32772,62887,0
201,32772,32104,0
202,32772,37448,0
203,32772,2136265,0
204,32772,36684,0
205,32772,49388,0
206,32772,118791,0
207,32772,173407,0
208,32772,54550,0
209,32772,7554,0
210,32772,176829,0
211,32772,83455,0
212,32772,102240,0
213,32772,76561,0
214,32772,1167611,0
215,32772,37085,0
216,32772,2026734,0
217,32772,182371,0
218,32772,130546,0
219,32772,172872,0
220,32772,115556,0
221,32772,10524,0
222,32772,21551,0
223,32772,50521,0
224,32772,9796,0
225,32772,173749,0
226,32772,76676,0
227,32772,152857,0
228,32772,85465,0
229,32772,135150,0
230,32772,186457,0
231,32772,41554,0
232,32772,2255349,0
233,32772,44914,0
234,32772,1536588,0
235,32772,191321,0
236,32772,37561,0
237,32772,115262,0
238,32772,1571790,0
239,32772,2212090,0
240,32772,41360,0
241,32772,916912,0
242,32772,2210420,0
243,32772,2299245,0
244,32772,47197,0
245,32772,1487964,0
246,32772,425261,0
247,32772,1364939,0
248,32772,1684468,0
249,32772,249191,0
250,32772,88922,0
251,32772,119071,0
252,32772,57728,0
253,32772,1081230,0
254,32772,140854,0
255,32772,40029,0
256,32772,85330,0
257,32772,97162,0
258,32772,154303,0
259,32772,180298,0
260,32772,185916,0
261,32772,198934,0
262,32772,220342,0
263,32772,469430,0
264,32772,673358,0
265,32772,821799,0
266,32772,1051294,0
267,32772,1164165,0
268,32772,1614740,0
269,32772,1675334,0
270,32772,1751545,0
271,32772,1796035,0
272,32772,1918092,0
273,32772,2088160,0
274,32772,2196568,0
275,2293770,28828,0
276,2293770,31859,0
277,2293770,67813,0
278,2293770,74244,0
279,2293770,109168,0
280,2293770,119810,0
281,2293770,130243,0
282,2293770,171690,0
283,2293770,178411,0
284,2293770,211163,0
285,2293770,211321,0
286,2293770,242035,0
287,2293770,292953,0
288,2293770,334288,0
289,2293770,341550,0
290,2293770,411223,0
291,2293770,477669,0
292,2293770,481803,0
293,2293770,496721,0
294,2293770,516294,0
295,2293770,520637,0
296,2293770,597403,0
297,2293770,599957,0
298,2293770,663552,0
299,2293770,676891,0
300,2293770,792780,0
301,2293770,839803,0
302,2293770,914401,0
303,2293770,960563,0
304,2293770,999490,0
305,2293770,1007337,0
306,2293770,1011327,0
307,2293770,1073340,0
308,2293770,1167963,0
309,2293770,1209982,0
310,2293770,1212287,0
311,2293770,1275589,0
312,2293770,1295986,0
313,2293770,1322603,0
314,2293770,1328598,0
315,2293770,1358744,0
316,2293770,1377555,0
317,2293770,1402937,0
318,2293770,1420371,0
319,2293770,1480569,0
320,2293770,1578269,0
321,2293770,1613203,0
322,2293770,1776142,0
323,2293770,1902754,0
324,2293770,1905818,0
325,2293770,2022392,0
326,2293770,2083970,0
327,2293770,2126503,0
328,2293770,2158272,0
329,2293770,119071,0
330,2293770,2394462,0
331,2293770,52543,0
332,2293770,56465,0
333,2293770,873,0
334,2293770,62607,0
335,2293770,66046,0
336,2293770,52109,0
337,2293770,172793,0
338,2293770,71798,0
339,2293770,1376301,0
340,2293770,724588,0
341,2293770,2351567,0
342,2293770,60927,0
343,2293770,1643697,0
344,2293770,1954512,0
345,2293770,1844466,0
346,2293770,1467169,0
347,2293770,961205,0
348,2293770,2299908,0
349,2293770,2374061,0
350,2293770,2429874,0
351,24,1253589,0
352,24,32104,0
353,24,1395217,0
354,24,213512,0
355,24,2213558,0
356,24,2284335,0
357,24,52216,0
358,24,19089,0
359,24,1494527,0
360,24,164216,0
361,24,109465,0
362,24,9796,0
363,24,79966,0
364,24,215085,0
365,24,469839,0
366,24,192351,0
367,24,149191,0
368,24,109121,0
369,24,1547121,0
370,24,153407,0
371,24,152857,0
372,24,75508,0
373,24,2323492,0
374,24,137616,0
375,24,37085,0
376,24,1427648,0
377,24,76676,0
378,24,134624,0
379,24,157201,0
380,24,659130,0
381,24,50521,0
382,24,41259,0
383,24,774207,0
384,24,91986,0
385,24,142959,0
386,24,4314,0
387,24,132136,0
388,24,57368,0
389,24,146911,0
390,24,130339,0
391,24,1301467,0
392,24,182371,0
393,24,77276,0
394,24,109402,0
395,24,470132,0
396,24,156295,0
397,24,81401,0
398,24,63580,0
399,24,34488,0
400,24,159149,0
401,24,142547,0
402,24,924031,0
403,24,1241282,0
404,24,539227,0
405,24,68379,0
406,24,2360630,0
407,24,2277146,0
408,24,1011506,0
409,24,906431,0
410,24,1384497,0
411,24,366019,0
412,24,1726323,0
413,24,178334,0
414,24,1077360,0
415,24,660918,0
416,24,2027784,0
417,24,22774,0
418,24,76191,0
419,24,90324,0
420,24,129584,0
421,24,150186,0
422,24,155555,0
423,24,397065,0
424,24,446238,0
425,24,493827,0
426,24,618031,0
427,24,688587,0
428,24,837260,0
429,24,868318,0
430,24,917301,0
431,24,979239,0
432,24,1009625,0
433,24,1134587,0
434,24,1225610,0
435,24,1318849,0
436,24,1333376,0
437,24,1352139,0
438,24,1385243,0
439,24,1402472,0
440,24,1457407,0
441,24,1458656,0
442,24,1473982,0
443,24,1721262,0
444,24,1727799,0
445,24,1786453,0
446,24,1805505,0
447,24,1908208,0
448,24,1954200,0
449,24,1981222,0
450,24,2119590,0
451,24,2298339,0
452,24,2302334,0
453,24,2342537,0
454,1441823,38572,0
455,1441823,72750,0
456,1441823,108127,0
457,1441823,126740,0
458,1441823,266688,0
459,1441823,330949,0
460,1441823,653591,0
461,1441823,721723,0
462,1441823,750123,0
463,1441823,886500,0
464,1441823,926138,0
465,1441823,1145578,0
466,1441823,1357919,0
467,1441823,135495,0
468,1441823,32104,0
469,1441823,164216,0
470,1441823,1712581,0
471,1441823,1783877,0
472,1441823,93568,0
473,1441823,57368,0
474,1441823,31399,0
475,1441823,2238933,0
476,1441823,2017118,0
477,1441823,1735273,0
478,1441823,2114053,0
479,1441823,2228016,0
480,1441823,2339521,0
481,2359336,9711,0
482,2359336,10253,0
483,2359336,60781,0
484,2359336,70154,0
485,2359336,113839,0
486,2359336,126083,0
487,2359336,129477,0
488,2359336,146911,0
489,2359336,458195,0
490,2359336,532750,0
491,2359336,771612,0
492,2359336,1383910,0
493,2359336,1613801,0
494,2359336,1775589,0
495,2359336,2052719,0
496,2359336,2101116,0
497,2359336,2196589,0
498,2359336,2280608,0
499,2359336,32104,0
500,2359336,16681,0
501,2359336,114604,0
502,2359336,2392279,0
503,2359336,194296,0
504,2359336,148724,0
505,1376301,73355,0
506,1376301,82358,0
507,1376301,102735,0
508,1376301,108677,0
509,1376301,109168,0
510,1376301,115831,0
511,1376301,121914,0
512,1376301,142138,0
513,1376301,176151,0
514,1376301,176710,0
515,1376301,218298,0
516,1376301,306037,0
517,1376301,324274,0
518,1376301,350542,0
519,1376301,543999,0
520,1376301,647698,0
521,1376301,660918,0
522,1376301,700795,0
523,1376301,831634,0
524,1376301,899383,0
525,1376301,997808,0
526,1376301,999490,0
527,1376301,1006410,0
528,1376301,1051157,0
529,1376301,1145396,0
530,1376301,1180989,0
531,1376301,1231396,0
532,1376301,1247309,0
533,1376301,1367078,0
534,1376301,2284757,0
535,1376301,1765177,0
536,1376301,2261836,0
537,1376301,1810095,0
538,1376301,71798,0
539,1376301,119810,0
540,1376301,182366,0
541,1376301,1851317,0
542,1376301,188911,0
543,1376301,52543,0
544,1376301,66046,0
545,1376301,2158272,0
546,1376301,1885955,0
547,1376301,101376,0
548,1376301,83258,0
549,1376301,116725,0
550,1376301,181946,0
551,1376301,2254062,0
552,1376301,2409392,0
553,1376301,135969,0
554,1376301,2022392,0
555,1376301,119071,0
556,1376301,73947,0
557,1376301,56465,0
558,1376301,1705721,0
559,1376301,183432,0
560,1376301,2309245,0
561,1376301,1442133,0
562,1376301,1430513,0
563,1376301,1448762,0
564,1376301,1660619,0
565,1376301,1681799,0
566,1376301,1908491,0
567,1376301,2185368,0
568,1376301,2445114,0
569,2064435,207772,0
570,2064435,216519,0
571,2064435,235133,0
572,2064435,449655,0
573,2064435,508014,0
574,2064435,746633,0
575,2064435,922308,0
576,2064435,1245883,0
577,2064435,1863867,0
578,2064435,1952424,0
579,2064435,2412923,0
580,2064435,115556,0
581,2064435,1995586,0
582,2064435,9571,0
583,2064435,178800,0
584,2064435,264809,0
585,98365,21680,0
586,98365,45994,0
587,98365,47596,0
588,98365,54133,0
589,98365,66804,0
590,98365,2108740,0
591,98365,1619990,0
592,98365,2007321,0
593,98365,1380992,0
594,98365,1570517,0
595,98365,179753,0
596,98365,74338,0
597,98365,135564,0
598,98365,171197,0
599,98365,182891,0
