,Source,Target,eType
0,0,1,0
1,0,316,0
2,0,146,0
3,0,268,0
4,0,581,0
5,0,221,0
6,0,18,0
7,0,734,0
8,0,178,0
9,0,380,0
10,0,0,0
11,0,459,0
12,0,215,0
13,0,250,0
14,0,148,0
15,0,73,0
16,0,498,0
17,0,226,0
18,0,101,0
19,0,218,0
20,0,377,0
21,0,17,0
22,0,74,0
23,0,177,0
24,0,248,0
25,0,103,0
26,0,560,0
27,0,309,0
28,0,88,0
29,0,5,0
30,0,297,0
31,0,313,0
32,0,223,0
33,0,238,0
34,0,368,0
35,0,266,0
36,0,222,0
37,0,283,0
38,0,6,0
39,0,64,0
40,0,166,0
41,1,1,0
42,2,3,0
43,2,4,0
44,2,195,0
45,2,305,0
46,2,2,0
47,2,412,0
48,2,102,0
49,2,194,0
50,2,55,0
51,2,252,0
52,2,13,0
53,2,63,0
54,2,192,0
55,2,586,0
56,2,408,0
57,2,138,0
58,2,434,0
59,2,6,0
60,2,281,0
61,2,193,0
62,2,174,0
63,2,285,0
64,2,137,0
65,2,323,0
66,2,211,0
67,2,58,0
68,2,238,0
69,2,520,0
70,2,481,0
71,2,665,0
72,2,59,0
73,2,208,0
74,2,5,0
75,2,506,0
76,2,516,0
77,2,517,0
78,2,160,0
79,2,286,0
80,2,57,0
81,2,132,0
82,2,409,0
83,2,411,0
84,2,587,0
85,2,140,0
86,2,96,0
87,2,64,0
88,2,809,0
89,2,826,0
90,2,158,0
91,2,738,0
92,2,832,0
93,2,273,0
94,2,803,0
95,2,845,0
96,2,571,0
97,2,89,0
98,2,54,0
99,2,300,0
100,2,489,0
101,2,612,0
102,2,249,0
103,2,865,0
104,2,283,0
105,2,107,0
106,2,880,0
107,2,698,0
108,2,899,0
109,2,86,0
110,2,886,0
111,2,162,0
112,2,546,0
113,2,812,0
114,2,859,0
115,2,308,0
116,2,131,0
117,2,56,0
118,2,333,0
119,2,971,0
120,2,271,0
121,2,990,0
122,2,685,0
123,2,405,0
124,2,896,0
125,2,1001,0
126,3,63,0
127,3,3,0
128,3,2,0
129,3,4,0
130,3,408,0
131,3,58,0
132,3,174,0
133,3,192,0
134,3,303,0
135,3,56,0
136,3,286,0
137,3,59,0
138,3,236,0
139,3,665,0
140,3,175,0
141,3,412,0
142,3,195,0
143,3,520,0
144,3,411,0
145,3,137,0
146,3,158,0
147,3,194,0
148,3,239,0
149,3,107,0
150,3,571,0
151,3,859,0
152,3,89,0
153,3,62,0
154,3,601,0
155,3,57,0
156,3,812,0
157,3,102,0
158,3,208,0
159,3,832,0
160,3,183,0
161,3,256,0
162,3,434,0
163,3,685,0
164,3,193,0
165,3,323,0
166,3,971,0
167,3,845,0
168,3,6,0
169,3,252,0
170,3,271,0
171,3,281,0
172,3,880,0
173,3,473,0
174,3,405,0
175,3,210,0
176,3,128,0
177,3,371,0
178,3,211,0
179,3,46,0
180,3,990,0
181,3,1001,0
182,4,2,0
183,4,3,0
184,4,4,0
185,4,62,0
186,4,63,0
187,4,286,0
188,4,194,0
189,4,195,0
190,4,114,0
191,4,81,0
192,4,174,0
193,4,193,0
194,4,665,0
195,4,160,0
196,4,412,0
197,4,586,0
198,4,107,0
199,4,59,0
200,4,285,0
201,4,58,0
202,4,520,0
203,4,571,0
204,4,281,0
205,4,282,0
206,4,408,0
207,4,283,0
208,4,301,0
209,4,192,0
210,4,211,0
211,4,481,0
212,4,305,0
213,4,434,0
214,4,424,0
215,4,121,0
216,4,142,0
217,4,809,0
218,4,158,0
219,4,532,0
220,4,57,0
221,4,137,0
222,4,826,0
223,4,832,0
224,4,239,0
225,4,685,0
226,4,803,0
227,4,845,0
228,4,208,0
229,4,13,0
230,4,612,0
231,4,411,0
232,4,256,0
233,4,587,0
234,4,145,0
235,4,698,0
236,4,712,0
237,4,55,0
238,4,738,0
239,4,271,0
240,4,252,0
241,4,533,0
242,4,102,0
243,4,162,0
244,4,859,0
245,4,89,0
246,4,170,0
247,4,169,0
248,4,425,0
249,4,54,0
250,4,625,0
251,4,56,0
252,4,552,0
253,4,126,0
254,4,96,0
255,4,183,0
256,4,138,0
257,4,896,0
258,4,6,0
259,4,812,0
260,4,131,0
261,4,971,0
262,4,990,0
263,4,82,0
264,4,323,0
265,4,405,0
266,4,360,0
267,4,430,0
268,4,166,0
269,4,880,0
270,4,1001,0
271,5,6,0
272,5,7,0
273,5,215,0
274,5,5,0
275,5,117,0
276,5,64,0
277,5,327,0
278,5,232,0
279,5,53,0
280,5,115,0
281,5,528,0
282,5,140,0
283,5,105,0
284,5,489,0
285,5,2,0
286,5,527,0
287,5,357,0
288,5,58,0
289,5,279,0
290,5,59,0
291,5,669,0
292,5,211,0
293,5,194,0
294,5,305,0
295,5,284,0
296,5,644,0
297,5,379,0
298,5,157,0
299,5,191,0
300,5,281,0
301,5,42,0
302,5,437,0
303,5,125,0
304,5,76,0
305,5,74,0
306,5,309,0
307,5,183,0
308,5,269,0
309,5,21,0
310,5,35,0
311,5,430,0
312,5,89,0
313,5,726,0
314,5,495,0
315,5,730,0
316,5,807,0
317,5,189,0
318,5,170,0
319,5,408,0
320,5,286,0
321,5,283,0
322,5,132,0
323,5,312,0
324,5,405,0
325,5,82,0
326,5,195,0
327,5,455,0
328,5,169,0
329,5,411,0
330,5,171,0
331,5,306,0
332,5,337,0
333,5,492,0
334,5,820,0
335,5,41,0
336,5,249,0
337,5,29,0
338,5,63,0
339,5,134,0
340,5,458,0
341,5,201,0
342,5,128,0
343,5,255,0
344,5,323,0
345,5,440,0
346,5,192,0
347,5,198,0
348,5,516,0
349,5,517,0
350,5,291,0
351,5,141,0
352,5,815,0
353,5,464,0
354,5,285,0
355,5,302,0
356,5,47,0
357,5,0,0
358,5,218,0
359,5,243,0
360,5,209,0
361,5,496,0
362,5,738,0
363,5,271,0
364,5,450,0
365,5,362,0
366,5,120,0
367,5,423,0
368,5,303,0
369,5,718,0
370,5,828,0
371,5,833,0
372,5,840,0
373,5,466,0
374,5,100,0
375,5,57,0
376,5,96,0
377,5,417,0
378,5,346,0
379,5,272,0
380,5,207,0
381,5,902,0
382,5,469,0
383,5,375,0
384,5,809,0
385,5,481,0
386,5,237,0
387,5,11,0
388,5,236,0
389,5,716,0
390,5,184,0
391,5,24,0
392,5,611,0
393,5,572,0
394,5,154,0
395,5,333,0
396,5,242,0
397,5,511,0
398,5,420,0
399,5,931,0
400,5,252,0
401,5,859,0
402,5,261,0
403,5,980,0
404,5,318,0
405,5,235,0
406,5,462,0
407,5,106,0
408,5,325,0
409,5,581,0
410,5,133,0
411,5,135,0
412,5,308,0
413,5,868,0
414,5,557,0
415,5,445,0
416,5,97,0
417,5,728,0
418,5,34,0
419,5,990,0
420,5,55,0
421,5,900,0
422,5,99,0
423,5,763,0
424,5,789,0
425,5,690,0
426,5,230,0
427,6,5,0
428,6,157,0
429,6,327,0
430,6,379,0
431,6,489,0
432,6,134,0
433,6,2,0
434,6,4,0
435,6,6,0
436,6,438,0
437,6,195,0
438,6,64,0
439,6,140,0
440,6,132,0
441,6,473,0
442,6,96,0
443,6,516,0
444,6,517,0
445,6,481,0
446,6,376,0
447,6,408,0
448,6,667,0
449,6,397,0
450,6,305,0
451,6,411,0
452,6,54,0
453,6,234,0
454,6,751,0
455,6,528,0
456,6,349,0
457,6,206,0
458,6,375,0
459,6,515,0
460,6,139,0
461,6,644,0
462,6,184,0
463,6,362,0
464,6,284,0
465,6,170,0
466,6,429,0
467,6,430,0
468,6,102,0
469,6,137,0
470,6,237,0
471,6,191,0
472,6,183,0
473,6,826,0
474,6,290,0
475,6,665,0
476,6,412,0
477,6,308,0
478,6,520,0
479,6,281,0
480,6,55,0
481,6,549,0
